Name,Address,Date,Hosts,Url
Archery for All: Tech Week Networking,"Brooklyn, New York City",2025-06-07T10:00:00,Hidden Gems Archery,https://partiful.com/e/H603KO84RXBm9uftzck9
Immigration & Eggs - Build Breakfast Club,"Chelsea, New York City",2025-06-05T08:30:00,The Build Fellowship,https://partiful.com/e/zaVvgSvLZw1FIEJsSWyF
"Scaling Smart: Capital, Tax, Legal, and HR for Startups","Midtown, New York City",2025-06-04T10:00:00,SOSA,https://partiful.com/e/ix5GrCzHz1LiXVopfQp4
Edelman & Tech:NYC New Media & Comms Happy Hour,"SoHo, New York City",2025-06-05T17:30:00,Edelman & Tech:NYC,https://partiful.com/e/ndZdCEnK1nEGZc0Gdggl
Happy Hour - AI-Personalized Bots for Learning,"SoHo, New York City",2025-06-05T18:00:00,SquareOne.Finance,https://partiful.com/e/cnOTbR7TjxuxsrANUNU1
Founder & Investor Breakfast,"Flatiron, New York City",2025-06-04T09:00:00,Republic,https://partiful.com/e/OPde60Fq94pLJpiSAgwz
"Tech for Good: AI, Wellness & Warrior Community","Upper Manhattan, New York City",2025-06-05T08:00:00,"URAWarrior, LLC",https://partiful.com/e/aLeiKjwyNloYKHJsKl4x
Catalyst for Change: Tech Founders Tackling Tough,"Flatiron, New York City",2025-06-05T15:00:00,Robin Hood,https://partiful.com/e/8ucVYttCWhhTnSa487ow
Atlassian for Startups,"Union Square, New York City",2025-06-05T16:30:00,Atlassian,https://partiful.com/e/T2bKKysrPhXA5ZqLkdID
People Powered AI: A Hands-On Lab for HR Leaders,"Midtown, New York City",2025-06-05T15:00:00,peoplepower.ai,https://partiful.com/e/9feLYkLHMeQms1kUzszq
Social Tech Poker Tournament,"SoHo, New York City",2025-06-06T18:00:00,Founden,https://partiful.com/events/rOGerSvqO9DsRHbIuQGI/edit
AI in Fintech: Bridging Research & Innovation,"Midtown, New York City",2025-06-02T20:30:00,GoodFin,https://partiful.com/e/MzirMVctEr9WoQVKEWRv
Anote / Mindstone AI Meetup,"Midtown, New York City",2025-06-04T18:00:00,"Anote, Mindstone, CIBC",https://partiful.com/e/Zh8NuBWFrQ6eMoKD80Gs
3D/GenAI content production at scale,"Tribeca, New York City",2025-06-05T11:00:00,SOLAYA,Invite Only
Building AI Solutions in Bio and Health,"SoHo, New York City",2025-06-02T12:00:00,2048 Ventures,https://partiful.com/e/YyIyG6F2KZMUJvQHJEJJ
Alt Realty,"Upper East Side, New York City",2025-06-04T08:00:00,Barnes International / New Yorrk,Invite Only
Salsa Tech Mixer & Social,"Midtown, New York City",2025-06-07T19:00:00,Alt-Black,https://partiful.com/e/hwR8wv9xgpJOs0OKDodV
What's Happening in Commerce?,"SoHo, New York City",2025-06-05T11:00:00,Arête Studios,https://partiful.com/e/BzEMGQhEFOts6JzVuJ6A
Morning Wellness Series - Escape Puppy Yoga,"Central Park, New York City",2025-06-07T10:45:00,ESCape Platforms,https://partiful.com/e/kxYBUwbON1vosRM0TwR7
Memelord Technologies Late-Night Memeathon,"SoHo, New York City",2025-06-03T21:00:00,Memelord Technologies,https://partiful.com/e/GsS4C3s7jA2ded0ETfK5
Darkest Comedy Book about Data Privacy & Climate,"Gramercy Park, New York City",2025-06-04T17:00:00,Barn on a Hill,Invite Only
"Fire & Ice: Breath, Plunge, & Sauna @ Othership","Flatiron, New York City",2025-06-03T06:45:00,BetternessAI,Invite Only
Activant Capital Poker Night ,"SoHo, New York City",2025-06-05T19:00:00,Activant Capital,https://partiful.com/e/aJrAuNkzyj3ezeGEOo9k
"Founders, Funders & Friends","Brooklyn, New York City",2025-06-04T19:00:00,Studio Management,https://partiful.com/e/u9IlwSLe9VcAFAxf7Hyw
Female Founders and Funders Walk,"Greenwich Village, New York City",2025-06-04T15:00:00,Venturous Counsel,https://partiful.com/e/Stu37GV30Rxrforgf1kL
Club Calima tech summit,"SoHo, New York City",2025-06-04T10:00:00,"Club Calima, Happily, Moonzecope",https://partiful.com/e/NYr7liueAUhhlJUJpfIh
a16z speedrun Fundraising Office Hours,"SoHo, New York City",2025-06-05T13:00:00,a16z speedrun,https://partiful.com/e/kpm8hZwky55EQUgPgSBo
New York City Pizza Crawl #8,"Brooklyn, New York City",2025-06-07T13:00:00,New York City Pizza Crawl,https://partiful.com/e/UyAPeHcxYw4oXfZswsfE
Investing in Private Markets 101,"Flatiron, New York City",2025-06-04T17:30:00,"GoodFin, WeWork",https://partiful.com/e/FWDoP4j2uZY1bmw147zk
New Music Wednesday,"Lower East Side, New York City",2025-06-04T15:00:00,Digital Mind State,https://partiful.com/e/4xcelxq181CqhD1cXEiV
Innovating Music Marketing in a Digital Age,"SoHo, New York City",2025-06-05T18:00:00,BrainStation New York,Invite Only
Building Beyond: Tech's Infrastructure Frontier,"Midtown, New York City",2025-06-03T16:30:00,53 Stations,https://partiful.com/e/OlfWwDCFPH9pP6WQelTu
Modern Data & ML Infra Meetup,"Flatiron, New York City",2025-06-04T08:30:00,Runhouse,https://partiful.com/e/dT2cCBevNeYSa4FZqoZx
"Investing in Israeli Innovation: A Gathering of Founders, Funders, and Global Partners","Flatiron, New York City",2025-06-05T16:30:00,Fenwick,https://partiful.com/e/CEktG6eSTyjKAKpHsRXj
AWS X Lyzr Agentic AI Developer Meetup and Tech Chat ,"Hudson Yards, New York City",2025-06-05T12:00:00,Amazon Web Services,https://partiful.com/e/mc3r2mSCQgDEAFwoOeLd
Partner2Partner VC Breakfast hosted by Greycroft,"Midtown, New York City",2025-06-04T08:30:00,Alpha Partners,Invite Only
TechWeek Opening After Party at GOSPËL ,"SoHo, New York City",2025-06-02T20:30:00,Madeline & Co.,https://partiful.com/e/fR6UyIvV5GSxYiYJDwe9
Techstars Startup Weekend: Pitch & Wine,"Midtown, New York City",2025-06-05T18:00:00,Techstars ‍Startup Weekend SF,https://partiful.com/e/tH17ixdGxZDJB3ObvGhO
Arthur Hackathon + Happy Hour,"SoHo, New York City",2025-06-04T17:00:00,Arthur,https://partiful.com/e/G84NqIhz3AfOSqXzTEpu
AI Logistics Meets the New Private Credit Frontier,"Financial District, New York City",2025-06-04T08:30:00,OceanX AI Inc.,https://partiful.com/e/yl8FqXrClU028OedCB64
"Get Sh*t Done, Girl: Speed Coworking","Brooklyn, New York City",2025-06-03T10:00:00,Oyster Creative,https://partiful.com/e/AdUW73vOPwMi147IUXJE
"The Future of Hoops: Elevating Play, Ball for life","Lower East Side, New York City",2025-06-04T18:00:00,Andiem,https://partiful.com/e/3iXcOPkDGVk6FaLlWkw2
Partiful Pizza Party,"Brooklyn, New York City",2025-06-05T19:00:00,Partiful,https://partiful.com/e/zMAuxx19PYXufqi3a4XJ
A.i.X Haus,"SoHo, New York City",2025-06-05T18:00:00,Haus of Creators,https://partiful.com/e/N6HqwR4r8Myh0OmV1qge
Doxxing + Drinks [Round 2],"Lower East Side, New York City",2025-06-03T17:30:00,Cloaked,Invite Only
a16z speedrun Marketing Office Hours,"SoHo, New York City",2025-06-03T13:00:00,a16z speedrun,https://partiful.com/e/YOZWaxUOiEVCKC3FsKgc
Product Managers Happy Hour,"SoHo, New York City",2025-06-02T19:00:00,The Real How,https://partiful.com/e/3Yo4m6VxxMiG31pT5sZg
a16z speedrun Capital Network Office Hours with Kevin Wu & Mayowa Ajayi,"SoHo, New York City",2025-06-06T13:00:00,a16z speedrun,https://partiful.com/e/SuWS50xzR4E7G1hfd7Ka
"HOF, Failup & Avance: AI Founder Mixer","SoHo, New York City",2025-06-03T17:00:00,"Failup Ventures, HOF, Avance",https://partiful.com/events/VWPvl8Noi7Rxw9Ot5Ja5
Brex Golf Club - Finance Leaders ,"Chelsea, New York City",2025-06-03T17:30:00,Brex,https://partiful.com/e/OCVCk3JA6G3Kz6dMD4nK
How AI Is Quietly Rewiring Healthcare & Government,"Lower East Side, New York City",2025-06-03T10:00:00,Tusk Ventures,https://partiful.com/e/etLeDBJgkzeb33PV6viA
"Rise & Shine Yoga: Hormone Health, presented by Agua Plus","Brooklyn, New York City",2025-06-03T07:30:00,Sputnik Yoga,https://partiful.com/e/Z9grP2Gm6WXZOrA0itNz
AI Investors & Founders hosted by Madeline & Co.,"Hudson Yards, New York City",2025-06-03T18:00:00,Madeline & Co.,https://partiful.com/e/teONOVzkdNM5VWaJj3Xz
Fintech Coffee NYC,"Midtown, New York City",2025-06-02T09:00:00,This Week in Fintech,https://partiful.com/e/IY8j5HXyAX7uuHYJwp8C
AI Salon,"Tribeca, New York City",2025-06-04T18:30:00,Sela Cloud,Invite Only
Securing Telecom ,"Midtown, New York City",2025-06-04T16:30:00,Cape,https://partiful.com/e/O7qH5343INz2W7XymWdu
Headstart Beer Pong Tourney,"SoHo, New York City",2025-06-07T14:00:00,Headstart,https://partiful.com/e/MDG76GfnSDhYp34pMFGa?
Death of a Job: Mastering the Future of Work,"Upper Manhattan, New York City",2025-06-03T16:00:00,Digital Mind State,https://partiful.com/e/4Ba6LSIqSyaNDh3I0OR6
Cañas & Tapas: US & LatAm,"SoHo, New York City",2025-06-04T12:00:00,Colectivo,https://partiful.com/e/loZ8hskuFhx3xhoX4bGW
FashionTech Happy Hour,"SoHo, New York City",2025-06-03T18:30:00,the real how,https://partiful.com/e/w3k1ijRSJZjmLZgyCuZc
TxO Spring 2025 Founders Demo Day,"Nomad, New York City",2025-06-06T12:00:00,a16z TxO,Invite Only
a16z speedrun Culture & Teams Office Hours,"SoHo, New York City",2025-06-05T13:00:00,a16z speedrun,https://partiful.com/e/E6Iu29oy7BObJTtjqj1U
"Let's Vibe: Workshops, Networking, and Hackathon!","Midtown, New York City",2025-06-07T08:00:00,Intuitive Coaching with Natasha Charles,https://partiful.com/e/1q3vBbSKwJyDC7fwQS8W
Women in AI – East Coast Launch Party,"Midtown, New York City",2025-06-02T17:30:00,Women In AI Club,https://partiful.com/e/SUm39Dpwukl5R7wuExxU
