Metric,Category,Value (Number),Description,Source
Total content creators in NYC,New York City Creator Economy Overview (2025),1.9 million,Approximate number of content creators,Influencers Club
Growth in content creators (YoY),New York City Creator Economy Overview (2025),16.80%,Year-over-year increase in creators,Influencers Club
NYC's rank in U.S. for number of creators,New York City Creator Economy Overview (2025),2nd,Rank of NYC after California,Influencers Club
NYC's share of global creator economy jobs,New York City Creator Economy Overview (2025),6.30%,NYC's percentage share of global creator economy jobs,Net Influencer
Leading industries among NYC creators,New York City Creator Economy Overview (2025),-,"Fashion, lifestyle, photography, food, fitness",Lefty
Percentage of creators with multiple income streams,NYC Creator Income & Platform Trends,60%,Percentage of creators with multiple income streams,Toxigon
Average sponsorship deal value,NYC Creator Income & Platform Trends,"$5,000 ",Average value of sponsorship deals,Toxigon
Brands preferring micro-influencers,NYC Creator Income & Platform Trends,70%,Percentage of brands preferring micro-influencers,Toxigon
Creators using AI tools weekly,NYC Creator Income & Platform Trends,43%,Percentage of creators using AI tools weekly,Whop
Increase in engagement with AI-generated content,NYC Creator Income & Platform Trends,2–5x more engagements,Engagement increase with AI-generated content,Whop
Consistent Content Production,Challenges in Content Creation,59.00%,Percentage of creators facing issues with content production,Linktree Creator Commerce Report 2024
Uncertainty of Social Media Algorithms,Challenges in Content Creation,55.00%,Percentage of creators facing issues with algorithm uncertainty,Linktree Creator Commerce Report 2024
Event,Impact of Sales Events on Creator Engagement,Increase in Clicks,-,Source
Black Friday & Cyber Monday,Impact of Sales Events on Creator Engagement,1.5 times,Increase in clicks compared to normal days,Linktree Creator Commerce Report 2024
Sephora Sale (Nov 1-11),Impact of Sales Events on Creator Engagement,75%,Clicks increase compared to the rest of 2024,Linktree Creator Commerce Report 2024
North America Market,NYC’s Role in North America’s Creator Economy,$50.1 billion (2024),Total market value in North America,Market.us3
NYC’s Contribution,NYC’s Role in North America’s Creator Economy,-,Leading hub for U.S. creators/brands,Market.us3
Key NYC Platforms,NYC’s Role in North America’s Creator Economy,38.8% market share,Share of video streaming platforms in NYC,Market.us3
Creative Sector Employment and Economic Impact,NYC’s Role in North America’s Creator Economy,"293,000 (employment)",Number of individuals employed in NYC’s creative sector and its economic contribution,comptroller.nyc.gov
Creator Economy Market Growth,NYC’s Role in North America’s Creator Economy,"$250 billion (2023), projected $480 billion (2027)",Global creator economy market size and growth projections,shiftcademy.com
