api_id,calendar_api_id,cover_url,end_at,event_type,hide_rsvp,location_type,name,one_to_one,recurrence_id,show_guest_list,start_at,timezone,url,user_api_id,visibility,waitlist_enabled,virtual_info,geo_longitude,geo_latitude,geo_address_info,geo_address_visibility,coordinate
evt-xgV6DUtD1phmfxn,cal-YMinHA6E7tnfoUJ,https://images.lumacdn.com/event-covers/zc/800e2190-93af-40a9-b31d-43f1472aa3d9.png,2025-04-07T15:00:00.000Z,independent,False,offline,World Health Day: Mat to Mindfulness with Flow Grounds,True,,False,2025-04-07T13:00:00.000Z,America/New_York,5qe56ug0,usr-MhCZWljf4HxMUDd,public,False,{'has_access': False},-74.007244,40.722732,"{'city': 'New York', 'type': 'google', 'region': 'New York', 'address': 'Fabrik NYC', 'country': 'United States', 'place_id': 'ChIJeUxAOmFZwokRQwoqebAluYQ', 'city_state': 'New York, New York', 'description': '', 'country_code': 'US', 'full_address': 'Fabrik NYC, 12-16 Vestry St 4th Floor, New York, NY 10013, USA', 'mode': 'shown'}",public,"{'latitude': 40.722732, 'longitude': -74.007244}"
evt-tJceEkhXmNCOR9M,cal-J7SgzZtqVI08Hva,https://images.lumacdn.com/event-covers/tw/cb04d95b-a9b4-4127-876e-2712e6c8c051.png,2025-04-07T15:00:00.000Z,independent,False,offline,Cobble Hill: Mysha x Maman Monday,True,,True,2025-04-07T13:30:00.000Z,America/New_York,0r8zmezi,usr-7g0bDxuPXxmNPw1,public,False,{'has_access': False},-73.993041,40.688734,"{'city': 'Kings County', 'type': 'google', 'region': 'New York', 'address': 'maman', 'country': 'United States', 'place_id': 'ChIJuedIXXtbwokROUHVzt-XCtM', 'city_state': 'Kings County, New York', 'description': '', 'full_address': 'maman, 154 Court St, Brooklyn, NY 11201, USA', 'apple_maps_place_id': 'IB5048326EC87CC50', 'mode': 'shown'}",public,"{'latitude': 40.688734, 'longitude': -73.993041}"
evt-YC8RCCls0EmShL3,cal-UEI6CEdGMq8IZd4,https://images.lumacdn.com/event-covers/3y/a92e7e7b-fec4-4d33-acbf-1a0a7e017221.png,2025-04-07T18:00:00.000Z,independent,False,offline,Tech Venture Showcase,True,,True,2025-04-07T16:30:00.000Z,America/New_York,fkw59022,usr-daFy9iIkWRoIXOk,public,False,{'has_access': False},-73.958401,40.817687,"{'city': 'New York', 'type': 'google', 'region': 'New York', 'address': 'Columbia Business School, David Geffen Hall', 'country': 'United States', 'place_id': 'ChIJ4z_jZwD3wokRq7gLRYp3fZQ', 'city_state': 'New York, New York', 'description': 'Geffen 310', 'country_code': 'US', 'full_address': 'Columbia Business School, David Geffen Hall, 645 W 130th St, New York, NY 10027, USA', 'apple_maps_place_id': 'I32C577AF9E782277', 'mode': 'shown'}",public,"{'latitude': 40.817687, 'longitude': -73.958401}"
evt-jTUiLVvACVWSB3h,cal-ZhHI0iwFmGxzZ0e,https://images.lumacdn.com/event-covers/lp/52c7dbd0-0d95-4b47-a300-44af6b782055.png,2025-04-07T23:15:00.000Z,independent,False,offline,Gen AI Built on Bedrock NYC,True,,True,2025-04-07T21:00:00.000Z,America/New_York,o2ujxjcb,usr-9RcIgZfsjwB5k20,public,True,{'has_access': False},-73.983336,40.751847,"{'city': 'New York', 'type': 'google', 'region': 'New York', 'address': 'Amazon JFK27 - Hank', 'country': 'United States', 'place_id': 'ChIJAS5zEAtZwokRny-KpCuaxTE', 'city_state': 'New York, New York', 'description': '', 'country_code': 'US', 'full_address': 'Amazon JFK27 - Hank, 12 W 39th St, New York, NY 10018, USA', 'apple_maps_place_id': 'I822368B38B6384C5', 'mode': 'shown'}",public,"{'latitude': 40.751847, 'longitude': -73.983336}"
evt-nU6nDQZev4VI74s,cal-UfMxOJl3hlqvCM8,https://images.lumacdn.com/event-covers/br/8ca808d5-c010-48f7-b6bf-bc5846bf057b.png,2025-04-08T00:30:00.000Z,independent,False,offline,Unicorner Presents: NYC Seed+ Founder Dinner,True,,False,2025-04-07T22:00:00.000Z,America/New_York,4xzekyn4,usr-vORoUrEYneK346O,public,True,{'has_access': False},-73.97000,40.75500,"{'mode': 'obfuscated', 'city_state': 'New York, New York'}",guests-only,"{'latitude': 40.755872, 'longitude': -73.970146}"
evt-y2fWfO3wWWgoflT,cal-1VimvHYSCVGhHuk,https://images.lumacdn.com/event-covers/ek/07cbba7e-d9aa-42d5-a424-6ba1dad2a9c1.png,2025-04-08T00:30:00.000Z,independent,False,offline,NYC B2B: Pre-Seed + Seed Founders & Investors Meetup,True,,True,2025-04-07T22:30:00.000Z,America/New_York,tt96221i,usr-xiL5SGLre86uzMa,public,False,{'has_access': False},-73.99000,40.74500,"{'mode': 'obfuscated', 'city_state': 'New York, New York'}",guests-only,"{'latitude': 40.744272, 'longitude': -73.990762}"
evt-eVhrdpDmrX0cVFu,cal-GlnRy1aKaT3ixQh,https://images.lumacdn.com/event-covers/so/cebb2721-4057-47c8-8bb6-f1966fe2bcc7.jpg,2025-04-09T00:00:00.000Z,independent,False,offline,"Variant Builder Day: Protocol Security with Blockaid, Anchorage & Spearbit",True,,False,2025-04-08T21:30:00.000Z,America/New_York,3bhzeh3i,usr-LqP2nl8m0tkvioq,public,False,{'has_access': False},-73.99000,40.74000,"{'mode': 'obfuscated', 'city_state': 'New York, New York'}",guests-only,"{'latitude': 40.740383, 'longitude': -73.990219}"
evt-NPD6M59arOHNtRG,cal-GCkSgsCV59kp6Om,https://images.lumacdn.com/event-covers/23/d2bfc4f8-64e7-45a3-a096-5b570affd622.png,2025-04-08T23:30:00.000Z,independent,False,offline,AI & The Culture,True,,True,2025-04-08T22:00:00.000Z,America/New_York,gstdytwc,usr-PAVl8qfz4RipuuS,public,True,{'has_access': False},-73.982143,40.758488,"{'city': 'New York', 'type': 'google', 'region': 'New York', 'address': 'Dow Jones & Co Inc', 'country': 'United States', 'place_id': 'ChIJffRJYVVYwokRLJMnMDisz5w', 'city_state': 'New York, New York', 'description': '', 'country_code': 'US', 'full_address': 'Dow Jones & Co Inc, 1211 6th Ave, New York, NY 10036, USA', 'mode': 'shown'}",public,"{'latitude': 40.758488, 'longitude': -73.982143}"
evt-W6pTHRJcYTAIh0M,cal-ettEAZDy2tZADuG,https://images.lumacdn.com/event-covers/op/e26dde02-42d2-4aa5-b23b-bdea4b2e7a10.png,2025-04-09T00:30:00.000Z,independent,False,offline,Scaling Engineering Organizations,True,,True,2025-04-08T22:00:00.000Z,America/New_York,uqu8edsv,usr-4uCIM4iHcADrjzX,public,True,{'has_access': False},-74.012150,40.710360,"{'city': 'New York', 'type': 'google', 'region': 'New York', 'address': '4 World Trade Center', 'country': 'United States', 'place_id': 'ChIJWbeh8BlawokRt9BGx7htQgU', 'city_state': 'New York, New York', 'description': 'floor 26th - DuoLingo. ID is required to enter the building.', 'country_code': 'US', 'full_address': '4 World Trade Center, 150 Greenwich St, New York, NY 10007, USA', 'apple_maps_place_id': 'I52B4B5668405BD47', 'mode': 'shown'}",public,"{'latitude': 40.71036, 'longitude': -74.01215}"
evt-YpkipUWHNnTZbAV,cal-wZRB9D5dtAO9FXa,https://images.lumacdn.com/event-covers/ll/73ca79a0-d03d-4af7-a0e6-7266f898d919.png,2025-04-09T00:30:00.000Z,independent,False,offline,DeSciNYC: The Internet Of Dongs Project,True,,False,2025-04-08T22:30:00.000Z,America/New_York,descinyc32,usr-vXffl8Sffv9ZTSf,public,False,{'has_access': False},-74.00250,40.72500,"{'mode': 'obfuscated', 'city_state': 'New York, New York'}",guests-only,"{'latitude': 40.724591, 'longitude': -74.001917}"
