name,start_time,timezone,address,guest_count,hosts
Index Open Studio Hours,2025-04-13T16:00:00.000Z,America/New_York,"Index, 120 Walker St 3rd Floor, New York, NY 10013, USA",17,Index
Saving Grace: A Play,2025-04-13T19:00:00.000Z,America/New_York,"Greenpoint, Brooklyn, NY, USA",20,Jenita Richards
Vibe Coding [Round 3 In The Asylum],2025-04-13T19:00:00.000Z,America/New_York,"242 Wythe Ave, Brooklyn, NY 11249, USA",33,Brenner Spear
NYC 30s/40s Mixer at the Met,2025-04-13T19:45:00.000Z,America/New_York,"The Metropolitan Museum of Art, 1000 5th Ave, New York, NY 10028, USA",40,"Early Burdz, Brigid"
南京方言角+泡泡馄饨工作坊,2025-04-13T20:00:00.000Z,America/New_York,"Accent Sisters 重音社, 89 5th Ave #702, New York, NY 10002, USA",24,Accent Accent
Assemblage Creations: Embellish an iPhone Case with Mixed Media Materials,2025-04-14T22:30:00.000Z,America/New_York,"119 N 1st St, Brooklyn, NY 11249, USA",12,craftnook
NYC June Primary Bootcamp Launch Party 🎉,2025-04-14T22:30:00.000Z,America/New_York,"Finback Brooklyn, 545 President St, Brooklyn, NY 11215, USA",97,Sachi Takahashi-Rial
FC NYC • Founders Run & Coffee!,2025-04-15T11:00:00.000Z,America/New_York,"St. George Coffee, 74 7th Ave S, New York, NY 10014, USA",0,"Founders Common, Damian Tenuta"
TECH 'N' TURNT,2025-04-15T21:00:00.000Z,America/New_York,"Puttery, 446 W 14th St, New York, NY 10014, USA",72,Tori Millender
Think Tech: Tools for Meeting Building Decarb Targets,2025-04-15T21:00:00.000Z,America/New_York,,0,Contech Alliance
Invisible Doctrine Screening + Community Gathering,2025-04-15T22:00:00.000Z,America/New_York,"Impact Hub New York Metropolitan Area, 417 5th Ave Suite 814, New York, NY 10016, USA",0,Protagoniste Network
Creator Economy NYC Mixer & Panel: Talking Creator Tools,2025-04-15T22:30:00.000Z,America/New_York,,0,Brett Dashevsky
Animation Nights New York (ANNY) at The Gutter Spare Room!,2025-04-16T00:00:00.000Z,America/New_York,,0,Animation Nights
NYC Tech Breakfast Club April,2025-04-16T12:00:00.000Z,America/New_York,,0,"Tech Breakfast Club, Ariana Song"
Fabrik's Built By Builder Series: David Nebinski,2025-04-16T14:00:00.000Z,America/New_York,"Fabrik NYC, 12-16 Vestry St 4th Floor, New York, NY 10013, USA",0,"Derek Kastner- Fabrik Community Director, David Nebinski"
Creative Women Entrepreneurs x Gather: Happy Hour for Women Freelancers,2025-04-16T22:00:00.000Z,America/New_York,,59,"Sam Popp, Rudy Blanco"
FirstGen Founders Powering the Care Economy,2025-04-16T22:00:00.000Z,America/New_York,,151,"FirstGen, James Hueston, FamTech, Anna Steffeney, Sarah Richard, Jeffrey Gray, Ines Gramegna (FG)"
La French Tech NYC - Afterwork,2025-04-16T22:00:00.000Z,America/New_York,,90,"Kimiya Shams, Crystelle Desnoyer, Benjamin Fabre, Caroline Faucher Winter, La French Tech New York"
Notion and Chill: Curating Everyday Joy,2025-04-16T22:00:00.000Z,America/New_York,"Fabrik DUMBO, 20 Jay St #218, Brooklyn, NY 11201, USA",106,"Pallavi Das, Yina Huang, Josh Stark"
Bookbinding: Signature Stitch,2025-04-16T23:00:00.000Z,America/New_York,"Drawing Room, 247 W 30th St # 9R, New York, NY 10001, USA",0,"Drawing Room, Ray Hwang"
Founders Basketball,2025-04-16T23:00:00.000Z,America/New_York,"Basketball City, 299 South Street Pier 36, Pier 36 NYC, 299 South St, New York, NY 10002, USA",24,"New Edition, Ezra Smyser"
Pitch and Run 730am Thursday Early Bird,2025-04-17T11:30:00.000Z,America/New_York,"Le Pain Quotidien, 395 S End Ave, New York, NY 10280, USA",375,"Kevin Weatherman, Chaitenya Razdan"
The Carry Takes NYC: Join Us for Our Second Rucking Meetup!,2025-04-17T20:00:00.000Z,America/New_York,"Pier 57, 25 11th Ave, New York, NY 10011, USA",41,"Carry Team, Cortney Bigelow, Esther Sedgwick"
Uber Design Night NYC,2025-04-17T21:00:00.000Z,America/New_York,,0,"Philip Peker, Leslie Luo, Joey Hines"
Navigating AI in Women's Healthcare: Insights from VC & Founders,2025-04-17T22:00:00.000Z,America/New_York,,0,"Marion - La Creme de la STEM ™, Natalie Neptune, Kosha Rakholia, Derek Kastner- Fabrik Community Director"
UX Engineering Meetup: NYC (April),2025-04-17T22:00:00.000Z,America/New_York,"450 W 33rd St fl 11, New York, NY 10001, USA",189,Claire
105th NY Hardware Meetup @ Viam,2025-04-17T22:30:00.000Z,America/New_York,"1900 Broadway, New York, NY 10023, USA",290,"Anthony Dzaba, Paul Vizzio"
Product Builders in Health and Wellness Tech Happy Hour [NYC],2025-04-17T22:30:00.000Z,America/New_York,,140,Haris Jaliawala
dreamstate+1,2025-04-18T00:00:00.000Z,America/New_York,,57,Concept Studio
Tech Pickleball NYC,2025-04-18T11:30:00.000Z,America/New_York,"McCarren Park Tennis Courts, 50 Bedford Ave, Brooklyn, NY 11222, USA",1168,"John DiLoreto, Skyler Birk-Stachon, Optemization"
"Seven Last Sayings: Rhythm, Rupture & Resilience",2025-04-18T23:00:00.000Z,America/New_York,"BRIC, 647 Fulton St, Brooklyn, NY 11217, USA",0,Kinetic Center
Founders Running Club :: New York,2025-04-19T13:00:00.000Z,America/New_York,"Abingdon Square, Hudson St, New York, NY 10014, USA",608,Founders Running Club
LeRobot Arm Hackathon NYC,2025-04-19T13:00:00.000Z,America/New_York,"Betaworks, 29 Little W 12th St, New York, NY 10014, USA",113,"Krish Shah, Nicole Ripka, Krish Mehta, Alex Marley, Brannon Jones, Betaworks, DT"
Alo Soho: Alo RUNNERs Club,2025-04-19T13:30:00.000Z,America/New_York,"Alo, 96 Spring St, New York, NY 10012, USA",0,"Alo Yoga, ceren"
Tala Schlossberg Experimental Animation Bootcamp,2025-04-19T15:00:00.000Z,America/New_York,"195 Plymouth St, Brooklyn, NY 11201, USA",9,Tala Schlossberg
NYC: Barrys Bootcamp x Lime Social Club,2025-04-19T20:20:00.000Z,America/New_York,"Barry's Noho, 419 Lafayette St, New York, NY 10003, USA",20,Caite Opfer
NYC LocalGuessr (NYC Geoguessr Party + Tournament),2025-04-19T23:00:00.000Z,America/New_York,"1002 Metropolitan Ave, Brooklyn, NY 11211, USA",28,boshi’s place
Pen to Paper: Wild Words Rising,2025-04-20T13:00:00.000Z,America/New_York,"Drawing Room, 247 W 30th St # 9R, New York, NY 10001, USA",0,"Drawing Room, Aaisha Bhuiyan"
Easter Potluck Brunch,2025-04-20T17:00:00.000Z,America/New_York,"2839 42nd St, Long Island City, NY 11103, USA",28,Food Joy Club
Flipping the Script On Investors: Reverse Pitches for NY Fintech Week Produced by RevTech Labs,2025-04-21T17:30:00.000Z,America/New_York,,94,"RevTech Labs, Empire Startups, RevTech Labs, Sarah Yates"
Computer Vision with CNNs,2025-04-21T18:00:00.000Z,America/New_York,"15 Beekman St, New York, NY 10038, USA",55,"Tejomay Kapadia, Watson Blair, Roshan N Kalpavruksha"
NY Fintech Week Kick off with Method and Cambr,2025-04-21T22:00:00.000Z,America/New_York,"Chelsea Living Room, 243 W 14th St, New York, NY 10011, USA",84,"This Week in Fintech, Empire Startups, Method Financial, Cambr"
Sip & Support: Myanmar / Burma Earthquake Relief,2025-04-21T22:00:00.000Z,America/New_York,"Rangoon - Chelsea, 158 8th Ave, New York, NY 10011, USA",23,"Colleen Wong, Kaye Lin, Yadana Paing, Jennster Leo"
NYC B2B: FinTech Founders & Operators Meetup,2025-04-21T22:30:00.000Z,America/New_York,,318,"Manan Modi, Empire Startups"
Poetry Night in Dreamworld w/ The Poetry Society of New York,2025-04-21T22:30:00.000Z,America/New_York,"119 N 1st St, Brooklyn, NY 11249, USA",7,craftnook
FC BK • Founders Run & Coffee!,2025-04-22T11:00:00.000Z,America/New_York,"209 N 11th St, Brooklyn, NY 11211, USA",0,"Founders Common, Haley Kennedy"
"""Identity in the Age of AI"" Panel",2025-04-22T13:00:00.000Z,America/New_York,"Morrison & Foerster LLP, 250 W 55th St, New York, NY 10019, USA",0,"Mat Kaliski, Empire Startups"
For the Firsts: April Meetup,2025-04-22T22:00:00.000Z,America/New_York,,0,Colin Rocker
Startup Lean Coffee,2025-04-23T13:00:00.000Z,America/New_York,"Foley Hoag LLP, 1301 6th Ave, New York, NY 10019, USA",67,Geoff Scott
Fintech Is Femme Leadership Summit 2025,2025-04-23T16:00:00.000Z,America/New_York,"The Times Center, 242 W 41st St, New York, NY 10036, USA",0,"Nicole Casperson, Empire Startups"
NY Fintech Week: AI in Fintech,2025-04-23T21:00:00.000Z,America/New_York,"Spring Place (New York), 6 St Johns Ln, New York, NY 10013, USA",0,"GoodFin, Arc"
Attention in the Age of AI with Gary Vaynerchuk,2025-04-23T22:00:00.000Z,America/New_York,,0,"South Park Commons, Dylan Itzikowitz"
"The Spark Society Book Club: ""The Motherload"" with Sarah Hoover",2025-04-23T23:00:00.000Z,America/New_York,,27,"Leah Wiseman Fink, Nikki Mendell"
Writers Club New York Spring Mixer!,2025-04-23T23:00:00.000Z,America/New_York,"Ace Hotel Brooklyn, 252 Schermerhorn St, Brooklyn, NY 11217, USA",53,Writers Club
ai circle happy hour,2025-04-24T21:30:00.000Z,America/New_York,"Talea Beer Co. West Village, 102 Christopher St, New York, NY 10014, USA",40,Albert - Founder of AI Circle
Fintech Reads Discussion and Happy Hour | Hosted by TWIF and MX,2025-04-24T21:30:00.000Z,America/New_York,"Bibliotheque, 54 Mercer St, New York, NY 10013, USA",0,"This Week in Fintech, Empire Startups, MX Technologies"
Founder Debate Night By Antler & Satori,2025-04-24T21:30:00.000Z,America/New_York,"123 Allen St, New York, NY 10002, USA",27,"Kyle Ferguson, Kaila J. Lim, Jake Bernstein"
Gen Z NYC Founder & Creator Mixer,2025-04-24T22:00:00.000Z,America/New_York,"109 3rd Ave, New York, NY 10003, USA",0,Natalie Neptune
🎲✨ Casino Night with Matchbox! ✨🎲,2025-04-24T23:00:00.000Z,America/New_York,"20 W 23rd St 5th floor, New York, NY 10010, USA",0,Flatiron Social
The Dinner Table at Lindens (Hudson Square),2025-04-24T23:00:00.000Z,America/New_York,"Lindens, 2 Renwick St, New York, NY 10013, USA",8,The Dinner Table
ANNY Screenings at the Queens Public Library in Ridgewood!,2025-04-25T00:00:00.000Z,America/New_York,"Queens Public Library at Ridgewood, 20-12 Madison St, Ridgewood, NY 11385, USA",0,Animation Nights
"The Visionary's Table: Build A Waitlist That Converts Edition [For Founders, Funders, Fractionals]",2025-04-25T13:30:00.000Z,America/New_York,,19,"Ashley Jefferson, Derek Kastner- Fabrik Community Director"
Inside Jokes,2025-04-26T01:00:00.000Z,America/New_York,"The Grisly Pear Midtown, 243 W 54th St, New York, NY 10019, USA",6,"Jordan Perry, Erin Mikail Staples, Jess Pear"
Mindful Parenthood: Earth Day Secondhand Shopping with Sundays x Babymint,2025-04-26T12:00:00.000Z,America/New_York,"sundays Nontoxic Nail Studio East Village, 71 4th Ave, New York, NY 10003, USA",29,Fiona
Queens Girls Who Walk,2025-04-26T15:00:00.000Z,America/New_York,"Cunningham Park, 196-10 Union Tpke, Fresh Meadows, NY 11366, USA",144,Stan S
Brooklyn Artist Studio Walk by Visionary Projects,2025-04-26T16:00:00.000Z,America/New_York,,0,Visionary Projects
Ivy Cut Pickleball Club Meetup #1,2025-04-26T17:30:00.000Z,America/New_York,"Mcarren Park Blacktop, 50 Bedford Ave, Brooklyn, NY 11222, USA",25,
HUA Wellness Community Picnic,2025-04-26T18:00:00.000Z,America/New_York,,62,"Omamoke Okah, Linda Xu"
Reading Rhythms Midtown Manhattan: April 27th,2025-04-27T20:00:00.000Z,America/New_York,"Hotel Alameda, High Line, 518 W 27th St, New York, NY 10001, USA",0,"Tommy Heller, Dena Levitz"
