title,eventTimestamp,location,attendeeCount,tags,description
Founders Support Potluck Lunch + Co-working Day - Apr 16,2025-04-16T16:00:00+00:00,,,"['Strategy', 'C-Level', 'Founder', 'Communities', 'Community', 'Coworking', 'Product']","CALLING ALL FOUNDERS TO SHOW UP TO WORK
To celebrate the 2-month anniversary of Founders Support Group and COHORT at Civic Hall, we’ll be organising a 
special day-long co-working event
.

For those who are on trial memberships at Civic Hall, we’re asking you to 
show up to co-work today
 to show Civic Hall how important the space is for us. On top of that, 
bring a co-working buddy
 (who hasn’t signed up for a membership yet) and get our
 limited-edition COHORT sticker
 while stocks last!

1200HRS
: For lunch, we’ll be organising a special edition of Brown Bag Lunch, potluck style. 
Bring a bite to share.

1600HRS
: To close off the day, we’ll be holding our weekly planning session, capped with the 
reveal of our first website
. Stick around to 
network with other community-builders
 and help us 
brainstorm ideas for the future of COHORT
.

WHAT IS BROWN BAG LUNCH?

Do you ever feel like a plastic bag? Drifting through the wind? It's because you're a start-up founder.
​This weekly Brown Bag lunch at Civic Hall is for early-stage founders 
to share a meal (bring your own)
, and
 trade war stories and tip
s.
​Does lunchtime remind you of high school, sitting in the toilet cubicle with a your packed lunch and no surface to put your juice pack? We have tables! And lively conversations.
​🔹 
Bring a war story
—that's right, leave no founder trauma at the door.
​🔹 
Or just bring your ears (and your own food)
—hear the challenges of other solo founders and what they did to win the day.
​🔹 
Weekly guests
—who are better than the rest of us because they've actually succeeded, and taken that sweet, sweet VC money. Or actually just more interesting and attractive.
​🔹 
Co-working Space
—optionally, stay on after for our regular co-working session at Civic Hall. Real estate is expensive and the wifi here is free.
------
About Cohort – A Community for Builders
Cohort is 
a new community inspired by SF’s builder-first culture
, offering founders a deeper, more meaningful alternative to NYC’s hustle and networking scene.

​NYC has some of the most ambitious people in the world, but too often, the startup scene feels transactional. The best founder ecosystems emerge when people build together, 
challenge each other, and create momentum as a group
.

​As Paul Graham wrote:
​
“Ambitious people are rare… when you take people like this and put them together with other ambitious people, they bloom like dying plants given water.”
​We’re building an environment where founders work side by side, form real relationships, and accelerate each other’s progress.
​
We’re starting with 
weekly coworking sessions
—a simple but effective way to stay focused while building meaningful connections. Over time, we’ll expand to both social and building focused events designed to foster deeper conversations and shared learning—moving beyond networking to create a 
true community of builders
."
Bachata class & social - all levels,2025-04-15T23:30:20+00:00,,,"['Dancing', 'Bachata', 'Vibe']","Ready to make some moves and connect with the rhythm? Join our fun bachata class and stay for the social! No partner needed, all levels welcome, beginner friendly, just bring your energy!


Super chill atmosphere, no pressure for beginners, fantastic teacher, best music and great vibes. Come a bit early if you want to have dinner(Peruvian chef!) or hang out and have a drink.

All level class at 830pm, cone a bit earlier to say hi or for dinner. 




"
Navigating the Tech Investment Landscape: A Conversation with Alok Sama and Max Levchin,2025-04-15T22:00:00+00:00,,,"['books', 'Venture Capital', 'Investments']","Join us for an insightful evening at Asia Society as 
Alok Sama
, former President & CFO of Softbank Group International and author of the bestselling literary memoir 
The Money Trap: Lost Illusions Inside the Tech Bubble
,
 
engages in a compelling conversation with renowned fintech entrepreneur 
Max Levchin
, co-founder of PayPal and founder-CEO of Affirm, and moderated by Asia Society Trustee and Citi's 
Ida Liu
. They will share invaluable lessons from their extensive careers in tech and finance, delving into the current landscape of tech investment, exploring the impact of the present administration's tech vision, and the U.S.-China tech rivalry. With 
Masayoshi Son 
leading 
President Trump's 
AI infrastructure investment project — Project Stargate — Mr. Sama has special insight into what to expect from the enigmatic ""Masa,"" much of his experience also documented in his book 
The Money Trap
. What is it that investors and innovators are not seeing? Or choosing not to see?

Don't miss this opportunity to gain wisdom from some of the industry's giants in a thought-provoking discussion. 
The Money Trap 
will be available for sale during the event with a book signing to follow.

Speaker Bios:
Alok Sama
 currently serves as a Senior Advisor to Warburg Pincus LLC and Chairs the Advisory Board for Valhalla Ventures. While at SoftBank he led the $34 billion acquisition of Arm Holdings, the $59 billion merger of T-Mobile and Sprint and multiple growth investments across technology verticals. He has over 30 years of investment banking, capital market and investment experience in New York, London and Hong Kong. Prior to Softbank, he was a senior Managing Director at Morgan Stanley, where he led the firm's communications practice in Europe and the TMT practice in the Asia-Pacific region. He holds an MBA from The Wharton School and an MFA in Creative Writing from New York University. He is a member of the CNBC Global CFO Council, and a former Chairman of the London Chapter of the Young President's Organization
 
Max Levchin 
is the founder and CEO of Affirm, and the co-founder and Chairman of Glow, a data-driven fertility company. Max was one of the original co-founders of PayPal where he served as the Chief Technology Officer. Max also founded Slide, which was acquired by Google in 2010, and helped create Yelp, where he served as Chairman from 2005 until July 2015. Max was born in Kyiv (Ukraine) and holds a B.S. in Computer Science from University of Illinois at Urbana-Champaign. He is a serial entrepreneur, computer scientist, philanthropist and active investor in more than 100 startups.

Ida Liu (moderator)
 is former Global Head of Citi Private Bank and a member of the Citi Global Wealth Leadership team. She was previously the Head of Citi Private Bank North America and held numerous other leadership roles. Before joining Citi, she was at Vivienne Tam as Global Head of Sales, Marketing, Public Relations and Business Development. Prior to this, she was with Merrill Lynch and at BT Wolfensohn (now Deutsche Bank). She has received many industry accolades including the distinguished Ellis Island Medal of Honor, Barron’s 10 Most Influential Women in Wealth Management and Crain’s Notable Women on Wall Street. Beginning in 2019 and every year since, Ida was named Barron’s 100 Most Influential Women in U.S. Finance as well as American Banker’s 25 Most Powerful Women in Finance. She is a Young Global Leader (YGL) of the World Economic Forum, a member of The Committee of 100 (C100) and Young Presidents’ Organization (YPO). Ida serves on the UCLA Health Advisory Board as well as the Asia Society Board of Trustees."
Mandopop Song Hour,2025-04-11T22:30:00+00:00,,,"['Engineering', 'Music', 'Design', 'Founder', 'Business Operations', 'Finance']","One year ago, 7 shiny-eyed mandopop lovers met for a casual jam session. Now, we invite you to join Kindafresh at our first ever show!
Come and see us play some classic Mandarin (and English) songs by beloved artists like Jay Chou, Hebe, Weibird and more!    
IMPORTANT: Arrive before 6:30pm! Show will end at 7:30p. We can grab drinks after. There are also arrangements for an after-party at a nearby venue, join us! 
   
https://www.instagram.com/kindafresh

哈喽 我们乐队 kindafresh 的第一次演出快到了！这演出也是我们的一周年庆祝哦。周杰伦，Hebe，韦礼安，都是我们热爱的音乐人。欢迎大家来和我们一起回味这些童年回忆！更精彩的是 我们还会演奏队员自创的歌曲。拭目以待吧！  
 注意：必须在 6:30pm 之前到达！演出会7:30pm完毕。
Please put your full name so the door person can check you off! In the future, we will have more events, hopefully featuring your band!"
Founders Cohort – Weekly Founders/Builders/Creatives Dinner - Apr 11,2025-04-11T22:00:00+00:00,,,"['C-Level', 'Founder', 'Community', 'Communities', 'Food and Beverage', 'Restaurants']","​Startups and creative endeavors are hard. They keep us busy, isolated, and constantly pushing forward. But at the earliest stages, relationships matter most. Since we all have to eat, let’s break bread together and build a founder and builders community that helps each other grow and get to market.
​
​Join us for a casual dinner with fellow founders and builders(tech and creative!). No pitches, no agendas—just good food, good people, and the kind of conversations that only happen when ambitious minds come together.

🔹 
Connect Over Dinner
 – Share a meal, swap stories, and build relationships beyond transactional networking.
🔹 
Founder & Builder Conversations
 – Whether you’re tackling your latest challenge, bouncing ideas, or just getting to know others on the same journey, you’ll be surrounded by people who get it.
🔹 
A Community-First Atmosphere
 – No pressure, no expectations—just a space to unwind, talk, and be part of a growing founder community.
Come for the food, stay for the people, and leave with real connections that make the founder journey a little less lonely.

About Cohort – A Community for Builders
Cohort is a community of founders and builders focused on bringing SF’s builder-first culture to NYC. Instead of the city’s usual hustle-and-networking dynamic, we’re creating an environment where founders work side by side, challenge each other, and build momentum together.

As Paul Graham wrote:
“Ambitious people are rare… when you take people like this and put them together with other ambitious people, they bloom like dying plants given water.”

We’re starting with regular founder meetups, coworking sessions, and dinners—simple but effective ways to build meaningful relationships while making progress.

Over time, we’ll expand to more events designed to encourage deeper conversations, shared learning, and real collaboration.

Join us and help build the founder community NYC deserves."
Game Night,2025-04-10T23:00:15+00:00,,,[],"Let’s play some games together. Bring games you want to play, and let’s have a ton of fun!"
Redeeming the 9–5: Reimagining Faith & Work in Tech,2025-04-10T22:30:00+00:00,,,"['faith', 'christian', 'Professional Networking', 'Venture Capital', 'FinTech', 'EdTech', 'Cause Marketing']","Join us for 
Christians*inTech
 as we dive into Gallup’s eye-opening “
Great Detachment
” findings and learn how to think redemptively about our careers. This isn’t just another panel—it’s your chance to connect with industry pros, gain fresh perspectives, and meet others who are excited about integrating faith into their professional journeys.

A Panel That Actually Matters + Breakout Group Discussion
Moderated by 
Andy (Founder of 
Do Good
 and 
Christians*inTech
)
, we’ll be chatting with two incredible voices in faith and work:
Bradford Jones (Principal, 
SignalFire
)
: A Forbes 30 Under 30 investor who’s overseen 
$600M+
 in AI/ML and SaaS deals. Bradford brings unique insight into how believers can steward opportunities and align investments with a higher purpose.
Scott Crosby (Founder & CEO, 
Global Cities Group
)
: With 40 years of shaping global cities through the gospel, Scott will share how to live with a “faithful presence” in fast-paced industries, one decision at a time.

What We’ll Cover
Redemptive Work:
 Why our professions matter to God and how we can bless others through them.
Call vs. Career:
 Connecting day-to-day tasks to a grander calling.
Intentional Impact:
 Practical ways to bring redemptive values into our personal, professional, and social spheres.
Tech Focus:
 How Bradford’s approach to VC can help you see your own role in tech differently.

Come for the Conversation, Stay for the Community
After the panel, enjoy 
beer, wine, and snacks
 while you network with other young professionals across tech, finance, consulting, law, healthcare, marketing, and more. Whether you’re a seasoned pro, a curious newcomer, or even a student, you’ll find your people here.

Don’t Miss Out - 
This evening is designed to spark transformative ideas, grow meaningful relationships, and help you see your 9–5 through a redemptive lens. Spaces will fill up fast—so secure your spot and get ready for an experience that might just change the way you work.

P.S. If you haven’t already,
 subscribe to Christians*inTech
 to stay in the loop on future events and updates.

Also, thank you to our partners 
Sugary Community
 (check out their newsletter!) and our venue host 
Fabrik
, a home for communities where everyone has a place to belong. 

Global Cities builds networks in core industries and institutions.
 Our professions shape us and the culture we inhabit, and therefore it is not neutral space but a space that forms values and norms for good or ill. In any industry we can identify what ""ought"" to be different; the challenge is to step into those areas to create worthy, redemptive alternatives. "
Tech Gather NYC April Meetup,2025-04-09T23:00:00+00:00,,,[],"Tech Gather NYC is a mixer for anyone and everyone in NYC Tech.

New to Tech? Welcome!
15 years in? Come on down!
Just got to the city? Get to know the techies here!
Been here forever? Grab your ""Pizza Rat"" headband and welcome the newbies.

Be you Product, UI, Coder or Solutions or any of the buzz terms our industry throws out there, come unwind at a chill Irish pub on Fulton with cheap drinks and stay for a top-notch (free!) karaoke session next door.

Did I mention the whole thing is free?"
FaithTech NYC: Scaling and Sacrifice: How to Grow Without Losing What Matters Most,2025-04-09T22:15:00+00:00,,,"['Christianity', 'Venture Capital', 'Startups']","FaithTech is happening in New York City!

Join us in person at our new location: St. Bart's (enter at 109 East 50th St).

6pm
: Doors Open

6:15pm-7:15pm
: Join us with our special guest, 
Kristina Chapple 
of
 11 Tribes Ventures
, speaking on
 ""Scaling and Sacrifice: How to Grow Without Losing What Matters Most"".

7:15pm-
: All are welcome to continue with food and fellowship at Lexington Market (Lexington Avenue at 51st Street). 
Each person pays their own way
.

About FaithTech

Are you a Christian who works in tech? Passionate to see technology leveraged for the Kingdom of God? Hungry to learn what it means to be redemptive and to build technology redemptively?

Come meet, learn, and build with other like-minded Christians in tech as we steward our skills for the glory of God together right here in New York!
Come and be a part of this tech community for Christ.

----
What is FaithTech?

We are a global tech community for Christ. We exist to help people in the tech ecosystem find community and steward their skills to glorify God.

Visit our 
website
 for more!

What happens at a FaithTech Event?

Meet:
 Community begins when we connect, get to know each other and build meaningful relationships.

Learn: 
Each time we meet together, someone will speak to us on the intersection of faith and technology.

Build:
 We start and continue community labs projects as a part of our regular meet-up rhythm.

Have questions? Email us at new-york@faithtech.com

* Photographs and videos may be taken during this event. Please contact us in advance if you would not like to be a part of videos and photos. Otherwise, by attending, you are agreeing to participate in our media.

** Registrants' names and registrants' emails will be added to the FaithTech NYC email list and may be shared with the event location. Please let us know if you do not want your name or email shared."
Founders Cohort - Brown Bag Lunch - Founders Support Group - Apr 9,2025-04-09T16:00:00+00:00,,,"['Strategy', 'C-Level', 'Founder', 'Communities', 'Community', 'Coworking', 'Product']","​Do you ever feel like a plastic bag? Drifting through the wind? It's because you're a start-up founder.

​This weekly Brown Bag lunch at Civic Hall is for early-stage founders 
to share a meal (bring your own)
, and 
trade war stories and tips
.

​Does lunchtime remind you of high school, sitting in the toilet cubicle with a your packed lunch and no surface to put your juice pack? We have tables! And lively conversations.

​🔹 
Bring a war story
—that's right, leave no founder trauma at the door.

​🔹 
Or just bring your ears (and your own food)
—hear the challenges of other solo founders and what they did to win the day.

​🔹 
Weekly guests
—who are better than the rest of us because they've actually succeeded, and taken that sweet, sweet VC money. Or actually just more interesting and attractive.

​🔹
 Co-working Space
—optionally, stay on after for our regular co-working session at Civic Hall. Real estate is expensive and the wifi here is free.

------

About Cohort – A Community for Builders

Cohort is
 
a new community inspired by SF’s builder-first culture
, offering founders a deeper, more meaningful alternative to NYC’s hustle and networking scene.

​NYC has some of the most ambitious people in the world, but too often, the startup scene feels transactional. The best founder ecosystems emerge when people 
build together, 
challenge each other, and create momentum as a group
.

​As Paul Graham wrote:
​
“Ambitious people are rare… when you take people like this and put them together with other ambitious people, they bloom like dying plants given water.”

​We’re building an environment where founders work side by side, form real relationships, and accelerate each other’s progress.
​
We’re starting with
 
weekly coworking sessions
—a simple but effective way to stay focused while building meaningful connections. Over time, we’ll expand to both social and building focused events designed to foster deeper conversations and shared learning—moving beyond networking to create 
a
 true community of builders
."
